,patient,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,7,0,0.00390625,3.814697265625e-06,0.6856795955492239,0.7132739297739299
1,7,1,0.00390625,7.62939453125e-06,0.688786011558876,0.7213143338143339
2,7,2,0.00390625,1.52587890625e-05,0.6924834786731219,0.7356941576941577
3,7,3,0.00390625,3.0517578125e-05,0.69546121535648,0.7426049321049321
4,7,4,0.00390625,6.103515625e-05,0.6961958124231457,0.7440834350834351
5,7,5,0.00390625,0.0001220703125,0.6936869232728621,0.7469346394346394
6,7,6,0.00390625,0.000244140625,0.6882870558892246,0.743038628038628
7,7,7,0.00390625,0.00048828125,0.6811017219954348,0.7362902837902837
8,7,8,0.00390625,0.0009765625,0.6737988363164388,0.7258958633958634
9,7,9,0.00390625,0.001953125,0.6679101236115643,0.7128296518296519
10,7,10,0.00390625,0.00390625,0.6645558204008684,0.6964686979686979
11,7,11,0.00390625,0.0078125,0.6642697895867745,0.7003797313797314
12,7,12,0.00390625,0.015625,0.6667307996964412,0.7043669108669108
13,7,13,0.00390625,0.03125,0.6711393627918986,0.7080788655788656
14,7,14,0.00390625,0.0625,0.675099845676667,0.722057276057276
15,7,15,0.00390625,0.125,0.6775055670394194,0.7221383061383061
16,7,16,0.00390625,0.25,0.6789711146052659,0.7264156029156029
17,7,17,0.00390625,0.5,0.6781945159219147,0.7197197617197617
18,7,18,0.00390625,1.0,0.6693789139604199,0.6990826765826766
19,7,19,0.0078125,3.814697265625e-06,0.6764163513047632,0.694486864986865
20,7,20,0.0078125,7.62939453125e-06,0.6792627586329104,0.7100586080586081
21,7,21,0.0078125,1.52587890625e-05,0.6829592106623998,0.7216229696229697
22,7,22,0.0078125,3.0517578125e-05,0.6866971773674634,0.7254034669034669
23,7,23,0.0078125,6.103515625e-05,0.6891481544611625,0.7425895955895956
24,7,24,0.0078125,0.0001220703125,0.689142000153513,0.7445737965737965
25,7,25,0.0078125,0.000244140625,0.6860769979452627,0.7409412809412808
26,7,26,0.0078125,0.00048828125,0.68046853011917,0.7291704221704223
27,7,27,0.0078125,0.0009765625,0.6738899566282258,0.722540959040959
28,7,28,0.0078125,0.001953125,0.6682655603877281,0.7131758056758056
29,7,29,0.0078125,0.00390625,0.6651717883356322,0.7068027158027158
30,7,30,0.0078125,0.0078125,0.6652403215149074,0.7009787989787989
31,7,31,0.0078125,0.015625,0.6682557390907132,0.7076509971509972
32,7,32,0.0078125,0.03125,0.6730360797359345,0.7195454915454915
33,7,33,0.0078125,0.0625,0.6764907058622042,0.7298606948606948
34,7,34,0.0078125,0.125,0.6774968281022963,0.7324584674584674
35,7,35,0.0078125,0.25,0.6764261254862387,0.7299936544936546
36,7,36,0.0078125,0.5,0.6742108739733428,0.727970732970733
37,7,37,0.0078125,1.0,0.6648830604915092,0.6948681318681318
38,7,38,0.015625,3.814697265625e-06,0.6670210273918663,0.69238381988382
39,7,39,0.015625,7.62939453125e-06,0.6691863070426038,0.7006171791171792
40,7,40,0.015625,1.52587890625e-05,0.6721393419785155,0.7107444777444778
41,7,41,0.015625,3.0517578125e-05,0.6753349427734257,0.7201202871202871
42,7,42,0.015625,6.103515625e-05,0.6779262874995042,0.734955303955304
43,7,43,0.015625,0.0001220703125,0.678736749252094,0.74394005994006
44,7,44,0.015625,0.000244140625,0.6772687735836881,0.7412713212713213
45,7,45,0.015625,0.00048828125,0.6735535244576574,0.7304255744255745
46,7,46,0.015625,0.0009765625,0.6686633009921902,0.7111642431642433
47,7,47,0.015625,0.001953125,0.6643203610839263,0.7016648166648166
48,7,48,0.015625,0.00390625,0.6619122578459243,0.7014321049321048
49,7,49,0.015625,0.0078125,0.6625467051628262,0.6969782994782996
50,7,50,0.015625,0.015625,0.6661405060509309,0.7021480186480187
51,7,51,0.015625,0.03125,0.6716046857738245,0.7261745476745477
52,7,52,0.015625,0.0625,0.6758133104023263,0.7335788100788101
53,7,53,0.015625,0.125,0.6757582682018196,0.7351600991600992
54,7,54,0.015625,0.25,0.6714897896621683,0.7223934583934583
55,7,55,0.015625,0.5,0.668850818028221,0.7195448995448994
56,7,56,0.015625,1.0,0.6597667314946343,0.6922308987308987
57,7,57,0.03125,3.814697265625e-06,0.6560952849277986,0.6956792281792283
58,7,58,0.03125,7.62939453125e-06,0.6575919683651276,0.6999155659155659
59,7,59,0.03125,1.52587890625e-05,0.6597523211671458,0.7068157583157584
60,7,60,0.03125,3.0517578125e-05,0.662376109401512,0.7136837976837976
61,7,61,0.03125,6.103515625e-05,0.6648733889540501,0.7226153291153292
62,7,62,0.03125,0.0001220703125,0.6662359163140076,0.721618696118696
63,7,63,0.03125,0.000244140625,0.6655945674114163,0.7235468605468606
64,7,64,0.03125,0.00048828125,0.6627272725422816,0.7166772301772302
65,7,65,0.03125,0.0009765625,0.6587345983728916,0.7050887445887447
66,7,66,0.03125,0.001953125,0.6550718351932536,0.6867740222740223
67,7,67,0.03125,0.00390625,0.6534831091741546,0.692504181004181
68,7,68,0.03125,0.0078125,0.6549505520606238,0.6895660080660082
69,7,69,0.03125,0.015625,0.6593759489243421,0.6951246161246161
70,7,70,0.03125,0.03125,0.6654505080645484,0.7165239945239944
71,7,71,0.03125,0.0625,0.6709958244915089,0.7216693306693307
72,7,72,0.03125,0.125,0.6719882669984056,0.734890738890739
73,7,73,0.03125,0.25,0.6670150263839016,0.7211994671994673
74,7,74,0.03125,0.5,0.6644511777459979,0.7074833499833499
75,7,75,0.03125,1.0,0.6554157773188374,0.6825079735079735
